lon,lat
-97.4974838,25.9017472
-80.2962555,26.007765
-80.1494901,26.0112014
-80.1494901,26.0112014
-80.1373174,26.1224386
-80.1373174,26.1224386
-80.1373174,26.1224386
-97.5247243,26.1284971
-80.1289321,26.3683064
49.9777136,26.3926665
-80.0728201,26.4614625
-81.8577585,26.60178
-81.8723084,26.640628
-98.3455688,26.649503
-80.0533746,26.7153424
-80.0942087,26.9342246
-80.2297697,27.2544906
-80.3582261,27.2730492
-82.5306527,27.3364347
-82.5306527,27.3364347
-82.5748194,27.4989278
111.8568586,27.6252995
-80.3972736,27.6386434
-81.5157535,27.6648274
-81.5157535,27.6648274
-81.5157535,27.6648274
-81.5157535,27.6648274
-81.5157535,27.6648274
-81.5157535,27.6648274
-81.5157535,27.6648274
-81.5157535,27.6648274
-81.5157535,27.6648274
-81.5157535,27.6648274
-81.5157535,27.6648274
-81.5157535,27.6648274
-82.5436722,27.763383
-82.5436722,27.763383
-82.6402915,27.7676008
-82.6402915,27.7676008
-82.6402915,27.7676008
-82.7751622,27.8092229
-81.6911559,27.8617347
-82.4571776,27.950575
-82.4571776,27.950575
-82.4571776,27.950575
-82.5178062,27.9515183
-81.8661442,28.0582985
-82.7637127,28.0780718
-82.6817662,28.1808458
112.938814,28.228209
-82.7192671,28.2441768
-81.5599277,28.3600613
-80.6077132,28.3922182
84.124008,28.394857
-81.4331424,28.4954215
-81.4657554,28.5212941
-81.3792365,28.5383355
-81.3792365,28.5383355
-81.3792365,28.5383355
-81.3792365,28.5383355
-81.3792365,28.5383355
-81.7728543,28.5494447
-81.2000599,28.6024274
-81.2058208,28.6131122
77.2090212,28.6139391
77.2090212,28.6139391
77.2776001,28.6306206
-81.2081203,28.669997
-81.2081203,28.669997
-81.3182093,29.0345424
76.085601,29.0587757
76.085601,29.0587757
-99.7861679,29.2096836
47.481766,29.31166
47.481766,29.31166
-95.1057625,29.3780129
-98.4936282,29.4241219
-98.4936282,29.4241219
-98.4936282,29.4241219
-98.4936282,29.4241219
-98.4936282,29.4241219
-98.517167,29.4601529
-95.0949303,29.5074538
-82.3248262,29.6516344
-97.5052724,29.6657863
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
