"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @CDCgov: #Flu activity remains elevated across the United States. Remember these 3 steps to #fightflu: 

1⃣   Get yourself &amp; your family…",FALSE,0,,2018-02-26 21:52:49,FALSE,,"968242474580893697",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","medicinewfaith",51,TRUE,FALSE,,
"RT @CDCgov: #Flu activity remains elevated across the United States. Remember these 3 steps to #fightflu: 

1⃣   Get yourself &amp; your family…",FALSE,0,,2018-02-26 21:52:13,FALSE,,"968242320868020224",,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","CDCemergency",51,TRUE,FALSE,,
"RT @TempleHealthMed: The facts about the #flu shot this season: Temple Lung Center's Dr. Mulhall shares why you need to get  a new shot eve…",FALSE,0,,2018-02-26 21:50:48,FALSE,,"968241965237264389",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","OcheltreeSara",2,TRUE,FALSE,,
"Back on the Gin and Hot Ribena #flu #hottoddy #temperature",FALSE,0,,2018-02-26 21:50:44,FALSE,,"968241951123308544",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kikidunn",0,FALSE,FALSE,,
"RT @KPbewelldoc: ☀️ #Flu is still trying to hang on!
If you get sick:
������If non-life threatening symptoms,
     seek virtual care so we don't…",FALSE,0,,2018-02-26 21:50:43,FALSE,,"968241944064339970",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rheytah",7,TRUE,FALSE,,
"RT @LotusOak: Guillain Barré Syndrome is #1 in #Vaccine #Injury Compensations due to #Flu Shots

https://t.co/9I1VB1kfBi https://t.co/7SNSo…",FALSE,0,,2018-02-26 21:50:32,FALSE,,"968241897503420417",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GarionCoyote",15,TRUE,FALSE,,
"RT @LotusOak: Guillain Barré Syndrome is #1 in #Vaccine #Injury Compensations due to #Flu Shots

https://t.co/9I1VB1kfBi https://t.co/7SNSo…",FALSE,0,,2018-02-26 21:50:08,FALSE,,"968241798014492674",,"<a href=""http://facebook.com/burnayeva"" rel=""nofollow"">LotusOak</a>","LotusOak",15,TRUE,FALSE,,
"#Flu may impact brain health @sfntweets @sfnjournals https://t.co/rNA3T5o5KU",FALSE,2,,2018-02-26 21:50:05,FALSE,,"968241786798903298",,"<a href=""https://sciencex.com/"" rel=""nofollow"">Science X Status Updates</a>","medical_xpress",3,FALSE,FALSE,,
"With an estimated effectiveness of 36% for the 2017-18 #flu season, annual flu #vaccination is the best source of p… https://t.co/0J28YnEFxh",FALSE,0,,2018-02-26 21:50:04,TRUE,,"968241783657369601",,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","CPFgrants",0,FALSE,FALSE,,
"RT @voiceBoksMedia: #Flu season is not over so you might want to make sure you’re fully equipped and ready to fight it off with #VitaminC #…",FALSE,0,,2018-02-26 21:47:55,FALSE,,"968241241405247489",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EnzasBargains",12,TRUE,FALSE,,
"RT @13love13x: So what were they really spraying up yah nose #CDC Acknowledged that ""Nasal Spray"" #Flu #Vaccine Did Not Work &amp; Should Not B…",FALSE,0,,2018-02-26 21:47:23,FALSE,,"968241104431788035",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CMacabaeusBey",5,TRUE,FALSE,,
"Watch or read the news and you’ll hear that the flu season is running rampant. It’s important to do your best to st… https://t.co/q4ba74V1r8",FALSE,0,,2018-02-26 21:43:51,TRUE,,"968240215646179330",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hiremymom",0,FALSE,FALSE,,
"The #flu activity across #Ukraine forces authorities to close schools due to sickness of students. In #Uman, majori… https://t.co/jNLoFAKBm9",FALSE,0,,2018-02-26 21:43:35,TRUE,,"968240149774598144",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","besthealthyou",0,FALSE,FALSE,,
"Got this #flu going around. Ugghh.",FALSE,0,,2018-02-26 21:43:02,FALSE,,"968240012939710464",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TraderMN1",0,FALSE,FALSE,,
"RT @SepsisAlliance: #Sepsis can affect the seemingly young &amp; healthy, especially when brought on by #flu strains, like this season’s #N3H2.…",FALSE,0,,2018-02-26 21:42:35,FALSE,,"968239899538313216",,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","angieirvine1",11,TRUE,FALSE,,
"RT @Laurie_Garrett: World Organization for Animal Health (OIE):
- Panzoonotic Wave of avian #flu underway since 2013
- today involves 8 cou…",FALSE,0,,2018-02-26 21:42:25,FALSE,,"968239856416624642",,"<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","H7N9Influenza",2,TRUE,FALSE,,
"@donasarkar Twitter Tip toeing #flu https://t.co/Gl77USFrrx",FALSE,2,"donasarkar",2018-02-26 21:42:10,FALSE,"968230684476153856","968239795372638209","55588874","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sfdesigner",0,FALSE,FALSE,,
"RT @SepsisAlliance: #Sepsis can affect the seemingly young &amp; healthy, especially when brought on by #flu strains, like this season’s #N3H2.…",FALSE,0,,2018-02-26 21:41:32,FALSE,,"968239634823118849",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Debz_1980",11,TRUE,FALSE,,
"#CDC reports declining #flu activity https://t.co/mxK07gik8F #fluseason",FALSE,1,,2018-02-26 21:40:56,FALSE,,"968239483262038017",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TXBGH",0,FALSE,FALSE,,
"Could it be #flu?  #influenza https://t.co/hn8JqgU5E3 https://t.co/QlTHEvfRbB",FALSE,0,,2018-02-26 21:40:31,FALSE,,"968239380363083776",,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","drkdhoffman",3,FALSE,FALSE,,
"Here's what state #health and hospital officials are saying about the #flu in Massachusetts  https://t.co/Vc3xnQWMNV",FALSE,0,,2018-02-26 21:40:11,FALSE,,"968239294119890944",,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RJtheFireDog",0,FALSE,FALSE,,
"RT @CDCgov: #Flu activity remains elevated across the United States. Remember these 3 steps to #fightflu: 

1⃣   Get yourself &amp; your family…",FALSE,0,,2018-02-26 21:39:51,FALSE,,"968239211928326145",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VillageCare",51,TRUE,FALSE,,
"In this awful influenza season, @CDCgov data indicates #flu cases are starting to fall for the first time… https://t.co/IZARa6KPup",FALSE,0,,2018-02-26 21:37:58,TRUE,,"968238738752114689",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","immunizenjnow",0,FALSE,FALSE,,
"↑
- H3N2 &amp; H7N7. No decreases in dendritic spines were seen in mice that didn’t receive #flu virus &amp; mice infected… https://t.co/z1tbwW50JB",FALSE,0,"boba_oudou",2018-02-26 21:36:19,TRUE,"968237066646560768","968238322312036352","3616753278","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","boba_oudou",0,FALSE,FALSE,,
"RT @PURELL: Did you know PURELL® Surface Sanitizers and Disinfectants kill #norovirus and #cold and #flu viruses in 30 seconds? https://t.c…",FALSE,0,,2018-02-26 21:35:20,FALSE,,"968238072813977602",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jacquel38411638",14,TRUE,FALSE,,
"The cycle seems to be : lay down and feel better &gt; get bored &gt; decide I can do a thing &gt; get up to do a thing &gt; fee… https://t.co/BUOxUoxOAF",FALSE,1,,2018-02-26 21:35:18,TRUE,,"968238065276788736",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sooonotpro",1,FALSE,FALSE,,
"RT @CDCgov: #Flu activity remains elevated across the United States. Remember these 3 steps to #fightflu: 

1⃣   Get yourself &amp; your family…",FALSE,0,,2018-02-26 21:34:15,FALSE,,"968237801627111424",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dlane345",51,TRUE,FALSE,,
